dac_inputs (V),adc_outputs
0.405763,39
0.406369,39
0.406974,39
0.407580,39
0.408186,39
0.408791,39
0.409397,39
0.410002,39
0.410608,39
0.411214,39
0.411819,39
0.412425,39
0.413031,39
0.413636,39
0.414242,40
0.414847,40
0.415453,40
0.416059,40
0.416664,39
0.417270,40
0.417875,40
0.418481,40
0.419087,40
0.419692,40
0.420298,41
0.420904,40
0.421509,40
0.422115,41
0.422720,41
0.423326,41
0.423932,41
0.424537,41
0.425143,41
0.425748,41
0.426354,41
0.426960,41
0.427565,41
0.428171,41
0.428777,41
0.429382,41
0.429988,42
0.430593,41
0.431199,42
0.431805,42
0.432410,42
0.433016,42
0.433621,42
0.434227,41
0.434833,42
0.435438,42
0.436044,43
0.436650,42
0.437255,43
0.437861,42
0.438466,43
0.439072,42
0.439678,42
0.440283,42
0.440889,42
0.441495,42
0.442100,42
0.442706,43
0.443311,43
0.443917,43
0.444523,43
0.445128,43
0.445734,43
0.446339,43
0.446945,44
0.447551,43
0.448156,43
0.448762,43
0.449368,43
0.449973,44
0.450579,43
0.451184,44
0.451790,44
0.452396,44
0.453001,44
0.453607,43
0.454212,44
0.454818,44
0.455424,45
0.456029,44
0.456635,44
0.457241,44
0.457846,44
0.458452,44
0.459057,45
0.459663,44
0.460269,44
0.460874,44
0.461480,45
0.462085,45
0.462691,46
0.463297,45
0.463902,45
0.464508,45
0.465114,45
0.465719,45
0.466325,45
0.466930,45
0.467536,45
0.468142,46
0.468747,46
0.469353,46
0.469958,45
0.470564,46
0.471170,45
0.471775,45
0.472381,45
0.472987,46
0.473592,46
0.474198,46
0.474803,46
0.475409,46
0.476015,46
0.476620,47
0.477226,46
0.477832,46
0.478437,46
0.479043,46
0.479648,46
0.480254,47
0.480860,46
0.481465,47
0.482071,47
0.482676,47
0.483282,47
0.483888,47
0.484493,47
0.485099,47
0.485705,47
0.486310,48
0.486916,47
0.487521,47
0.488127,47
0.488733,47
0.489338,48
0.489944,47
0.490549,48
0.491155,48
0.491761,48
0.492366,49
0.492972,48
0.493578,49
0.494183,49
0.494789,49
0.495394,49
0.496000,50
0.496606,49
0.497211,49
0.497817,50
0.498422,49
0.499028,49
0.499634,50
0.500239,49
0.500845,49
0.501451,49
0.502056,49
0.502662,49
0.503267,49
0.503873,49
0.504479,49
0.505084,49
0.505690,49
0.506295,50
0.506901,50
0.507507,50
0.508112,50
0.508718,51
0.509324,50
0.509929,51
0.510535,51
0.511140,50
0.511746,51
0.512352,50
0.512957,50
0.513563,51
0.514168,51
0.514774,51
0.515380,51
0.515985,51
0.516591,51
0.517197,51
0.517802,51
0.518408,50
0.519013,51
0.519619,51
0.520225,51
0.520830,51
0.521436,52
0.522042,51
0.522647,51
0.523253,52
0.523858,53
0.524464,52
0.525070,52
0.525675,52
0.526281,53
0.526886,53
0.527492,53
0.528098,52
0.528703,52
0.529309,53
0.529915,53
0.530520,53
0.531126,52
0.531731,53
0.532337,53
0.532943,53
0.533548,53
0.534154,53
0.534759,53
0.535365,54
0.535971,53
0.536576,53
0.537182,53
0.537788,53
0.538393,53
0.538999,53
0.539604,53
0.540210,54
0.540816,53
0.541421,54
0.542027,54
0.542632,54
0.543238,53
0.543844,54
0.544449,54
0.545055,54
0.545661,54
0.546266,55
0.546872,54
0.547477,54
0.548083,55
0.548689,54
0.549294,55
0.549900,54
0.550505,55
0.551111,55
